 ,Label,Area
1,Untitled:0256-0256,1238
2,Untitled:0020-0256,41
3,Untitled:0030-0100,61
4,Untitled:0059-0412,56
5,Untitled:0097-0100,53
6,Untitled:0126-0412,61
7,Untitled:0109-0256,119
8,Untitled:0156-0100,49
9,Untitled:0194-0256,32
10,Untitled:0191-0412,49
11,Untitled:0210-0100,47
12,Untitled:0234-0412,22
13,Untitled:0235-0256,37
14,Untitled:0257-0100,8
15,Untitled:0266-0412,35
16,Untitled:0321-0100,4
17,Untitled:0328-0412,75
18,Untitled:0354-0100,28
19,Untitled:0319-0256,116
20,Untitled:0400-0256,30
21,Untitled:0397-0412,48
22,Untitled:0400-0100,43
23,Untitled:0450-0100,45
24,Untitled:0452-0256,64
25,Untitled:0463-0412,55
26,Untitled:0488-0100,19
27,Untitled:0508-0100,8
28,Untitled:0502-0256,19
29,Untitled:0505-0412,14
